
Press enter to stop benchmark
Last 6978.013211914066, now 6958.037065429691
Last 6958.037065429691, now 6969.063009765624
Last 6969.063009765624, now 6936.763005859374
Last 6936.763005859374, now 6898.353722656249
Last 6898.353722656249, now 6923.904262695316
Last 6923.904262695316, now 6897.415402343756
Last 6897.415402343756, now 6893.888984375005
Last 6893.888984375005, now 6888.730476562501
Last 6888.730476562501, now 6897.13542089844
Last 6897.13542089844, now 6895.977848632818
Last 6895.977848632818, now 6895.988440429695
Last 6895.988440429695, now 6918.737282226566
Last 6918.737282226566, now 6893.244711914065
Last 6893.244711914065, now 6907.501216796884
Last 6907.501216796884, now 6892.931823242182
Last 6892.931823242182, now 6907.176286132813
Last 6907.176286132813, now 6936.596357421874
Last 6936.596357421874, now 6892.280486328132
Last 6892.280486328132, now 6879.059561523437
Last 6879.059561523437, now 6898.963299804685
Last 6898.963299804685, now 6882.871557617195
Last 6882.871557617195, now 6889.521104492178
Last 6889.521104492178, now 6896.466724609372
Last 6896.466724609372, now 6906.810452148433
Last 6906.810452148433, now 7182.518131835942
Last 7182.518131835942, now 6961.3858095703035
Last 6961.3858095703035, now 6957.098053710936
Last 6957.098053710936, now 6921.201142578119
Last 6921.201142578119, now 6894.25777246093
Last 6894.25777246093, now 6881.719438476564
Last 6881.719438476564, now 6901.853854492183
Last 6901.853854492183, now 6900.229415039071
Last 6900.229415039071, now 6924.551935546872


Retired 3129737216 objects in 1313.96
Initial average:
  1190974.7 retire/sec
  839.6 ns / retire
Removed 105051 outliers, 55.0%
Adjusted average:
  2425830.9 retire/sec
  412.2 ns / retire
