
Press enter to stop benchmark
Last 7021.064249999996, now 7023.610835937493
Last 7023.610835937493, now 7126.203697265624
Last 7126.203697265624, now 7011.107166015634
Last 7011.107166015634, now 7032.091196289061
Last 7032.091196289061, now 7049.5985449218715
Last 7049.5985449218715, now 7028.087870117194
Last 7028.087870117194, now 7008.897010742198
Last 7008.897010742198, now 7042.715264648441
Last 7042.715264648441, now 7049.361814453146
Last 7049.361814453146, now 7017.11338769532
Last 7017.11338769532, now 7026.6433124999985
Last 7026.6433124999985, now 7037.107003906247
Last 7037.107003906247, now 7025.82187890625
Last 7025.82187890625, now 7072.659518554689
Last 7072.659518554689, now 7034.987908203115
Last 7034.987908203115, now 7033.154432617183
Last 7033.154432617183, now 7088.535580078131
Last 7088.535580078131, now 7220.912888671876
Last 7220.912888671876, now 7017.361866210936
Last 7017.361866210936, now 7045.329421875003
Last 7045.329421875003, now 7008.343634765625
Last 7008.343634765625, now 7030.777754882805
Last 7030.777754882805, now 7003.51217089844
Last 7003.51217089844, now 7026.994594726569
Last 7026.994594726569, now 6994.891599609378
Last 6994.891599609378, now 7039.473494140625
Last 7039.473494140625, now 7039.770553710942
Last 7039.770553710942, now 6998.952437500006
Last 6998.952437500006, now 7032.4164326171895
Last 7032.4164326171895, now 7019.618092773441
Last 7019.618092773441, now 7005.085433593754


Retired 3088728064 objects in 1304.31
Initial average:
  1184065.9 retire/sec
  844.5 ns / retire
Removed 43610 outliers, 23.1%
Adjusted average:
  2361312.1 retire/sec
  423.5 ns / retire
