
Press enter to stop benchmark
Last 8658.147038085945, now 8656.12470898437
Last 8656.12470898437, now 8660.123635742175
Last 8660.123635742175, now 8664.332779296881
Last 8664.332779296881, now 8660.442062499993
Last 8660.442062499993, now 8661.997144531246
Last 8661.997144531246, now 8667.040908203118
Last 8667.040908203118, now 8666.825687499995
Last 8666.825687499995, now 8656.07700292968
Last 8656.07700292968, now 8664.356782226563
Last 8664.356782226563, now 8665.34256542969
Last 8665.34256542969, now 8655.594893554688
Last 8655.594893554688, now 8663.0147421875
Last 8663.0147421875, now 8661.805190429694
Last 8661.805190429694, now 8665.307498046875
Last 8665.307498046875, now 8657.871479492187
Last 8657.871479492187, now 8652.224180664067
Last 8652.224180664067, now 8661.932664062491
Last 8661.932664062491, now 8669.301314453129
Last 8669.301314453129, now 8665.78496386719
Last 8665.78496386719, now 8659.405415039071
Last 8659.405415039071, now 8652.471113281248
Last 8652.471113281248, now 8650.179669921887


Retired 2921693184 objects in 1524.62
Initial average:
  1916370.3 retire/sec
  521.8 ns / retire
Removed 70558 outliers, 39.6%
Adjusted average:
  1912390.9 retire/sec
  522.9 ns / retire
