
Press enter to stop benchmark
Last 15107.778870117185, now 7125.327442382814
Last 7125.327442382814, now 7126.745874023427
Last 7126.745874023427, now 7124.450620117193
Last 7124.450620117193, now 7108.98929394531
Last 7108.98929394531, now 7102.126731445319
Last 7102.126731445319, now 7109.31330957031
Last 7109.31330957031, now 7098.12427050781
Last 7098.12427050781, now 7098.792577148445
Last 7098.792577148445, now 7110.503478515613
Last 7110.503478515613, now 7097.732250976563
Last 7097.732250976563, now 7100.253209960949
Last 7100.253209960949, now 7099.2307812499985
Last 7099.2307812499985, now 7112.177343750007
Last 7112.177343750007, now 7114.084268554698
Last 7114.084268554698, now 7118.043904296868
Last 7118.043904296868, now 7097.610145507813
Last 7097.610145507813, now 7119.176586914056
Last 7119.176586914056, now 7108.610938476563
Last 7108.610938476563, now 7095.8313603515635
Last 7095.8313603515635, now 7108.698817382817
Last 7108.698817382817, now 7114.387640625
Last 7114.387640625, now 7112.025605468747
Last 7112.025605468747, now 7195.639131835949
Last 7195.639131835949, now 7147.868064453126
Last 7147.868064453126, now 7130.858251953122
Last 7130.858251953122, now 7101.760636718752


Retired 3024338944 objects in 1304.30
Initial average:
  1159391.6 retire/sec
  862.5 ns / retire
Removed 109 outliers, 0.1%
Adjusted average:
  1253500.6 retire/sec
  797.8 ns / retire
